0x10: GeneralReject,
0x11: ServiceNotSupported,
0x12: SubFunctionNotSupported,
0x13: IncorrectMessageLengthOrInvalidFormat,
0x14: ResponseTooLong,
0x21: BusyRepeatRequest,
0x22: ConditionsNotCorrect,
0x24: RequestSequenceError,
0x25: NoResponseFromSubnetComponent,
0x26: FailurePreventsExecutionOfRequestedAction,
0x31: RequestOutOfRange,
0x33: SecurityAccessDenied,
0x35: InvalidKey,
0x36: ExceedNumberOfAttempts,
0x37: RequiredTimeDelayNotExpired,
0x38: SecureDataTransmissionNotSupported,
0x39: SecureDataTransmissionNotAllowed,
0x3A: SecureDataTransmissionError,
0x3B: SecureDataTransmissionBusy,
0x3F: GeneralProgrammingFailure,
0x41: WrongBlockSequenceCounter,
0x42: ResponsePending,
0x43: SubFunctionNotSupportedInActiveSession,
0x45: GeneralProgrammingFailure,
0x71: TransferAborted,
0x72: IncorrectBlockSequenceCounter,
0x73: UnsupportedTransferType,
0x78: RequestCorrectlyReceived,ResponsePending,
0x7E: SubFunctionNotSupportedInActiveSession,
0x7F: ServiceNotSupportedInActiveSession
